section_id,section_level,section_title,section_text,word_count,code_block_count,link_count
72,h2,Non-pretty printing,"If you just want a string, with no fancy formatting, you can call str() on a BeautifulSoup object, or on a Tag within it: str ( soup ) # '<html><head></head><body><a href=""http://example.com/"">I linked to <i>example.com</i></a></body></html>' str ( soup . a ) # '<a href=""http://example.com/"">I linked to <i>example.com</i></a>' The str() function returns a string encoded in UTF-8. See Encodings for other options. You can also call encode() to get a bytestring, and decode() to get Unicode.",74,7,2
73,h2,Output formatters,"If you give Beautiful Soup a document that contains HTML entities like ""&lquot;"", they'll be converted to Unicode characters: soup = BeautifulSoup ( ""&ldquo;Dammit!&rdquo; he said."" , 'html.parser' ) str ( soup ) # '“Dammit!” he said.' If you then convert the document to a bytestring, the Unicode characters will be encoded as UTF-8. You won't get the HTML entities back: soup . encode ( ""utf8"" ) # b'\xe2\x80\x9cDammit!\xe2\x80\x9d he said.' By default, the only characters that are escaped upon ou...",874,28,7
74,h3,Formatter objects,"If you need more sophisticated control over your output, you can instantiate one of Beautiful Soup's formatter classes and pass that object in as formatter . class HTMLFormatter Used to customize the formatting rules for HTML documents. Here's a formatter that converts strings to uppercase, whether they occur in a string object or an attribute value: from bs4.formatter import HTMLFormatter def uppercase ( str ): return str . upper () formatter = HTMLFormatter ( uppercase ) print ( soup . prettif...",165,3,2
75,h3,Writing your own formatter,"Subclassing HTMLFormatter or XMLFormatter will give you even more control over the output. For example, Beautiful Soup sorts the attributes in every tag by default: attr_soup = BeautifulSoup ( b '<p z=""1"" m=""2"" a=""3""></p>' , 'html.parser' ) print ( attr_soup . p . encode ()) # <p a=""3"" m=""2"" z=""1""></p> To turn this off, you can subclass the Formatter.attributes() method, which controls which attributes are output and in what order. This implementation also filters out the attribute called ""m"" wh...",233,7,3
76,h2,get_text(),"If you only want the human-readable text inside a document or tag, you can use the get_text() method. It returns all the text in a document or beneath a tag, as a single Unicode string: markup = '<a href=""http://example.com/""> \n I linked to <i>example.com</i> \n </a>' soup = BeautifulSoup ( markup , 'html.parser' ) soup . get_text () ' \n I linked to example.com \n ' soup . i . get_text () 'example.com' You can specify a string to be used to join the bits of text together: # soup.get_text(""|"") ...",272,5,1
77,h1,Specifying the parser to use,"If you just need to parse some HTML, you can dump the markup into the BeautifulSoup constructor, and it'll probably be fine. Beautiful Soup will pick a parser for you and parse the data. But there are a few additional arguments you can pass in to the constructor to change which parser is used. The first argument to the BeautifulSoup constructor is a string or an open filehandle—the source of the markup you want parsed. The second argument is how you'd like the markup parsed. If you don't specify...",638,8,2
78,h2,Differences between parsers,"Beautiful Soup presents the same interface to a number of different parsers, but each parser is different. Different parsers will create different parse trees from the same document. The biggest differences are between the HTML parsers and the XML parsers. Here's a short document, parsed as HTML using the parser that comes with Python: BeautifulSoup ( ""<a><b/></a>"" , ""html.parser"" ) # <a><b></b></a> Since a standalone <b/> tag is not valid HTML, html.parser turns it into a <b></b> tag pair. Here...",403,6,0
79,h1,Encodings,"Any HTML or XML document is written in a specific encoding like ASCII or UTF-8. But when you load that document into Beautiful Soup, you'll discover it's been converted to Unicode: markup = b ""<h1>Sacr \xc3\xa9 bleu!</h1>"" soup = BeautifulSoup ( markup , 'html.parser' ) soup . h1 # <h1>Sacré bleu!</h1> soup . h1 . string # 'Sacr\xe9 bleu!' It's not magic. (That sure would be nice.) Beautiful Soup uses a sub-library called Unicode, Dammit to detect a document's encoding and convert it to Unicode....",1389,48,5
80,h2,Output encoding,"When you write out an output document from Beautiful Soup, you get a UTF-8 document, even if the input document wasn't in UTF-8 to begin with. Here's a document written in the Latin-1 encoding: markup = b ''' <html> <head> <meta content=""text/html; charset=ISO-Latin-1"" http-equiv=""Content-type"" /> </head> <body> <p>Sacr \xe9 bleu!</p> </body> </html> ''' soup = BeautifulSoup ( markup , 'html.parser' ) print ( soup . prettify ()) # <html> # <head> # <meta content=""text/html; charset=utf-8"" http-e...",298,7,0
81,h2,"Unicode, Dammit","You can use Unicode, Dammit without using Beautiful Soup. It's useful whenever you have data in an unknown encoding and you just want it to become Unicode: from bs4 import UnicodeDammit dammit = UnicodeDammit ( b "" \xc2\xab Sacr \xc3\xa9 bleu! \xc2\xbb "" ) print ( dammit . unicode_markup ) # «Sacré bleu!» dammit . original_encoding # 'utf-8' Unicode, Dammit's guesses will get a lot more accurate if you install one of these Python libraries: charset-normalizer , chardet , or cchardet . The more d...",600,20,2
82,h3,Smart quotes,"You can use Unicode, Dammit to convert Microsoft smart quotes to HTML or XML entities: markup = b ""<p>I just \x93 love \x94 Microsoft Word \x92 s smart quotes</p>"" UnicodeDammit ( markup , [ ""windows-1252"" ], smart_quotes_to = ""html"" ) . unicode_markup # '<p>I just &ldquo;love&rdquo; Microsoft Word&rsquo;s smart quotes</p>' UnicodeDammit ( markup , [ ""windows-1252"" ], smart_quotes_to = ""xml"" ) . unicode_markup # '<p>I just &#x201C;love&#x201D; Microsoft Word&#x2019;s smart quotes</p>' You can al...",151,3,0
83,h3,Inconsistent encodings,"Sometimes a document is mostly in UTF-8, but contains Windows-1252 characters such as (again) Microsoft smart quotes. This can happen when a website includes data from multiple sources. You can use UnicodeDammit.detwingle() to turn such a document into pure UTF-8. Here's a simple example: snowmen = ( u "" \N{SNOWMAN} "" * 3 ) quote = ( u "" \N{LEFT DOUBLE QUOTATION MARK} I like snowmen! \N{RIGHT DOUBLE QUOTATION MARK} "" ) doc = snowmen . encode ( ""utf8"" ) + quote . encode ( ""windows_1252"" ) This do...",291,12,0
84,h1,Line numbers,"The html.parser and html5lib parsers can keep track of where in the original document each Tag was found. You can access this information as Tag.sourceline (line number) and Tag.sourcepos (position of the start tag within a line): Note that the two parsers mean slightly different things by sourcepos . For html.parser, sourcepos points to the first character of the opening tag: markup = '<p class=""1"" \n >Paragraph 1</p> \n <p class=""2"">Paragraph 2</p>' print ( markup ) # Line 1: <p class=""1"" # Li...",297,13,1
85,h1,Comparing objects for equality,"Beautiful Soup says that two NavigableString or Tag objects are equal when they represent the same HTML or XML markup, even if their attributes are in a different order or they live in different parts of the object tree. In this example, the two <b> tags are treated as equal, because they both look like ""<b>pizza</b>"": markup = ""<p>I want <b>pizza</b> and more <b>pizza</b>!</p>"" soup = BeautifulSoup ( markup , 'html.parser' ) first_b , second_b = soup . find_all ( 'b' ) print ( first_b == second...",127,4,2
86,h1,Copying Beautiful Soup objects,"You can use copy.copy() to create a copy of any Tag or NavigableString : import copy p_copy = copy . copy ( soup . p ) print ( p_copy ) # <p>I want <b>pizza</b> and more <b>pizza</b>!</p> The copy is considered equal to the original, since it represents the same markup as the original, but it's not the same object: print ( soup . p == p_copy ) # True print ( soup . p is p_copy ) # False The only real difference is that the copy is completely detached from the original Beautiful Soup object tree,...",187,11,4
87,h1,Low-level search interface,"Almost everyone who uses Beautiful Soup to extract information from a document can get what they need using the methods described in Searching the tree . However, there's a lower-level interface that lets you define any matching behavior you want. Behind the scenes, the parts of the Beautiful Soup API that most people use-- find_all() and the like—are actually using this low-level interface, and you can use it directly. (Access to the low-level search interface is a new feature in Beautiful Soup...",716,31,20
88,h2,Custom element filtering,"class ElementFilter The ElementFilter class is your entry point to the low-level interface. To use it, define a function that takes a PageElement object (which could be either a Tag or a NavigableString ). The function must return True if the element matches your custom criteria, and False if it doesn't. This example function looks for content-containing tags and strings, but skips whitespace-only strings: from bs4 import Tag , NavigableString def non_whitespace_element_func ( tag_or_string ): ""...",630,30,18
89,h3,Custom element iteration,"ElementFilter. filter ( ) By passing an ElementFilter instance into Beautiful Soup's tree-searching methods, you can completely customize what it means for Beautiful Soup to match an element as it iterates over the parse tree. By using the ElementFilter.filter() method, you can also completely customize what it means for Beautiful Soup to iterate over the parse tree in the first place. The ElementFilter.filter() method takes a generator that yields a stream of PageElement objects. There is no re...",297,10,5
90,h1,Advanced parser customization,Beautiful Soup offers a number of ways to customize how the parser treats incoming HTML and XML. This section covers the most commonly used customization techniques. Parsing only part of a document  Let's say you want to use Beautiful Soup to look at a document's <a> tags. It's a waste of time and memory to parse the entire document and then go over it again looking for <a> tags. It would be much faster to ignore everything that wasn't an <a> tag in the first place. The SoupStrainer class allows...,1139,35,26
91,h2,Parsing only part of a document,Let's say you want to use Beautiful Soup to look at a document's <a> tags. It's a waste of time and memory to parse the entire document and then go over it again looking for <a> tags. It would be much faster to ignore everything that wasn't an <a> tag in the first place. The SoupStrainer class allows you to choose which parts of an incoming document are parsed. You just create a SoupStrainer and pass it in to the BeautifulSoup constructor as the parse_only argument. (Note that this feature won't...,545,16,18
92,h2,Customizing multi-valued attributes,"In an HTML document, an attribute like class is given a list of values, and an attribute like id is given a single value, because the HTML specification treats those attributes differently: markup = '<a class=""cls1 cls2"" id=""id1 id2"">' soup = BeautifulSoup ( markup , 'html.parser' ) soup . a [ 'class' ] # ['cls1', 'cls2'] soup . a [ 'id' ] # 'id1 id2' You can turn this off by passing in multi_valued_attributes=None . Than all attributes will be given a single value: soup = BeautifulSoup ( markup...",162,7,0
93,h2,Handling duplicate attributes,"When using the html.parser parser, you can use the on_duplicate_attribute constructor argument to customize what Beautiful Soup does when it encounters a tag that defines the same attribute more than once: markup = '<a href=""http://url1/"" href=""http://url2/"">' The default behavior is to use the last value found for the tag: soup = BeautifulSoup ( markup , 'html.parser' ) soup . a [ 'href' ] # http://url2/ soup = BeautifulSoup ( markup , 'html.parser' , on_duplicate_attribute = 'replace' ) soup ....",224,7,0
94,h2,Instantiating custom subclasses,"When a parser tells Beautiful Soup about a tag or a string, Beautiful Soup will instantiate a Tag or NavigableString object to contain that information. Instead of that default behavior, you can tell Beautiful Soup to instantiate subclasses of Tag or NavigableString , subclasses you define with custom behavior: from bs4 import Tag , NavigableString class MyTag ( Tag ): pass class MyString ( NavigableString ): pass markup = ""<div>some text</div>"" soup = BeautifulSoup ( markup , 'html.parser' ) is...",167,5,4
95,h1,Troubleshooting,"diagnose()  If you're having trouble understanding what Beautiful Soup does to a document, pass the document into the diagnose() function. (This function is new in Beautiful Soup 4.2.0.) Beautiful Soup will print out a report showing you how different parsers handle the document, and tell you if you're missing a parser that Beautiful Soup could be using: from bs4.diagnose import diagnose with open ( ""bad.html"" ) as fp : data = fp . read () diagnose ( data ) # Diagnostic running on Beautiful Soup...",1065,40,17
96,h2,diagnose(),"If you're having trouble understanding what Beautiful Soup does to a document, pass the document into the diagnose() function. (This function is new in Beautiful Soup 4.2.0.) Beautiful Soup will print out a report showing you how different parsers handle the document, and tell you if you're missing a parser that Beautiful Soup could be using: from bs4.diagnose import diagnose with open ( ""bad.html"" ) as fp : data = fp . read () diagnose ( data ) # Diagnostic running on Beautiful Soup 4.2.0 # Pyt...",159,3,0
97,h2,Errors when parsing a document,"There are two different kinds of parse errors. There are crashes, where you feed a document to Beautiful Soup and it raises an exception (usually an HTMLParser.HTMLParseError ). And there is unexpected behavior, where a Beautiful Soup parse tree looks a lot different than the document used to create it. These problems are almost never problems with Beautiful Soup itself. This is not because Beautiful Soup is an amazingly well-written piece of software. It's because Beautiful Soup doesn't include...",144,2,1
98,h2,Version mismatch problems,"SyntaxError: Invalid syntax (on the line ROOT_TAG_NAME = '[document]' ): Caused by running an old Python 2 version of Beautiful Soup under Python 3, without converting the code. ImportError: No module named HTMLParser - Caused by running an old Python 2 version of Beautiful Soup under Python 3. ImportError: No module named html.parser - Caused by running the Python 3 version of Beautiful Soup under Python 2. ImportError: No module named BeautifulSoup - Caused by running Beautiful Soup 3 code in ...",127,7,0
99,h2,Parsing XML,"By default, Beautiful Soup parses documents as HTML. To parse a document as XML, pass in ""xml"" as the second argument to the BeautifulSoup constructor: soup = BeautifulSoup ( markup , ""xml"" ) You'll need to have lxml installed .",40,2,1
100,h2,Other parser problems,"If your script works on one computer but not another, or in one virtual environment but not another, or outside the virtual environment but not inside, it's probably because the two environments have different parser libraries available. For example, you may have developed the script on a computer that has lxml installed, and then tried to run it on a computer that only has html5lib installed. See Differences between parsers for why this matters, and fix the problem by mentioning a specific pars...",135,1,3
101,h2,Miscellaneous,"UnicodeEncodeError: 'charmap' codec can't encode character '\xfoo' in position bar (or just about any other UnicodeEncodeError ) - This problem shows up in two main situations. First, when you try to print a Unicode character that your console doesn't know how to display. (See this page on the Python wiki for help.) Second, when you're writing to a file and you pass in a Unicode character that's not supported by your default encoding. In this case, the simplest solution is to explicitly encode t...",304,24,1
102,h2,Improving Performance,"Beautiful Soup will never be as fast as the parsers it sits on top of. If response time is critical, if you're paying for computer time by the hour, or if there's any other reason why computer time is more valuable than programmer time, you should forget about Beautiful Soup and work directly atop lxml . That said, there are things you can do to speed up Beautiful Soup. If you're not using lxml as the underlying parser, my advice is to start . Beautiful Soup parses documents significantly faster...",139,0,4
103,h1,Translating this documentation,"New translations of the Beautiful Soup documentation are greatly appreciated. Translations should be licensed under the MIT license, just like Beautiful Soup and its English documentation are. There are two ways of getting your translation into the main code base and onto the Beautiful Soup website: Create a branch of the Beautiful Soup repository, add your translation, and propose a merge with the main branch, the same as you would do with a proposed change to the source code. Send a message to...",144,1,0
104,h1,Beautiful Soup 3,"Beautiful Soup 3 is the previous release series, and is no longer supported. Development of Beautiful Soup 3 stopped in 2012, and the package was completely discontinued in 2021. There's no reason to install it unless you're trying to get very old software to work, but it's published through PyPi as BeautifulSoup : $ pip install BeautifulSoup You can also download a tarball of the final release, 3.2.2 . If you ran pip install beautifulsoup or pip install BeautifulSoup , but your code doesn't wor...",883,45,22
105,h2,Porting code to BS4,"Most code written against Beautiful Soup 3 will work against Beautiful Soup 4 with one simple change. All you should have to do is change the package name from BeautifulSoup to bs4 . So this: from BeautifulSoup import BeautifulSoup becomes this: from bs4 import BeautifulSoup If you get the ImportError ""No module named BeautifulSoup"", your problem is that you're trying to run Beautiful Soup 3 code, but you only have Beautiful Soup 4 installed. If you get the ImportError ""No module named bs4"", you...",769,41,19
106,h3,You need a parser,"Beautiful Soup 3 used Python's SGMLParser , a module that was deprecated and removed in Python 3.0. Beautiful Soup 4 uses html.parser by default, but you can plug in lxml or html5lib and use that instead. See Installing a parser for a comparison. Since html.parser is not the same parser as SGMLParser , you may find that Beautiful Soup 4 gives you a different parse tree than Beautiful Soup 3 for the same markup. If you swap out html.parser for lxml or html5lib, you may find that the parse tree ch...",108,5,1
107,h3,Property names,"I renamed three attributes to avoid using words that have special meaning to Python. Unlike my changes to method names (which you'll see in the form of deprecation warnings), these changes did not preserve backwards compatibility. If you used these attributes in BS3, your code will break in BS4 until you change them. UnicodeDammit.unicode -> UnicodeDammit.unicode_markup Tag.next -> Tag.next_element Tag.previous -> Tag.previous_element",62,6,0
108,h3,Generators,"Some of the generators used to yield None after they were done, and then stop. That was a bug. Now the generators just stop.",24,1,0
109,h3,XML,"There is no longer a BeautifulStoneSoup class for parsing XML. To parse XML you pass in ""xml"" as the second argument to the BeautifulSoup constructor. For the same reason, the BeautifulSoup constructor no longer recognizes the isHTML argument. Beautiful Soup's handling of empty-element XML tags has been improved. Previously when you parsed XML you had to explicitly say which tags were considered empty-element tags. The selfClosingTags argument to the constructor is no longer recognized. Instead,...",101,5,0
110,h3,Entities,"An incoming HTML or XML entity is always converted into the corresponding Unicode character. Beautiful Soup 3 had a number of overlapping ways of dealing with entities, which have been removed. The BeautifulSoup constructor no longer recognizes the smartQuotesTo or convertEntities arguments. ( Unicode, Dammit still has smart_quotes_to , but its default is now to turn smart quotes into Unicode.) The constants HTML_ENTITIES , XML_ENTITIES , and XHTML_ENTITIES have been removed, since they configur...",117,7,2
111,h3,Miscellaneous,"Tag.string now operates recursively. If tag A contains a single tag B and nothing else, then A.string is the same as B.string. (Previously, it was None.) Multi-valued attributes like class have lists of strings as their values, not simple strings. This may affect the way you search by CSS class. Tag objects now implement the __hash__ method, such that two Tag objects are considered equal if they generate the same markup. This may change your script's behavior if you put Tag objects into a dictio...",191,11,9
112,h3,Table of Contents,Beautiful Soup Documentation Getting help API documentation Quick Start Installing Beautiful Soup Installing a parser Making the soup Kinds of objects Tag Tag.name Tag.attrs NavigableString Special strings Comment For HTML documents Stylesheet Script Template For XML documents Declaration Doctype CData ProcessingInstruction Navigating the tree Going down Navigating using tag names .contents and .children .descendants .string .strings and stripped_strings Going up .parent .parents .self_and_paren...,295,70,127
113,h3,Quick search,,0,0,0
